Date,Year,Month,Month_Name,Season,Station,Zone,Cast_ID,Latitude,Longitude,Distance_km,Depth_m,Temperature_C,Salinity_PSU,Sigma_t,Oxygen_mgL,pH,Chl_a_ugL,Fluorescence_mgm3,Turbidity_NTU,H2S_mgL,Transect,Section_Name,Station_Order
2026-02-15,2026,2,Şubat,Kış,TM1,Kıyı,C01,40.9967,39.7655,0.926,1,9.209,18.272,13.247,10.075,8.319,0.401,0.388,1.676,0.0,TM,Trabzon_Transect,1
2026-02-15,2026,2,Şubat,Kış,TM1,Kıyı,C01,40.9967,39.7655,0.926,2,9.349,18.306,13.212,10.153,8.344,0.384,0.399,1.554,0.0,TM,Trabzon_Transect,1
2026-02-15,2026,2,Şubat,Kış,TM1,Kıyı,C01,40.9967,39.7655,0.926,3,9.278,18.311,13.206,10.053,8.333,0.403,0.389,1.628,0.0,TM,Trabzon_Transect,1
2026-02-15,2026,2,Şubat,Kış,TM1,Kıyı,C01,40.9967,39.7655,0.926,4,9.304,18.363,13.31,9.851,8.326,0.4,0.425,1.632,0.0,TM,Trabzon_Transect,1
2026-02-15,2026,2,Şubat,Kış,TM1,Kıyı,C01,40.9967,39.7655,0.926,5,9.19,18.358,13.286,9.817,8.341,0.41,0.42,1.508,0.0,TM,Trabzon_Transect,1
2026-02-15,2026,2,Şubat,Kış,TM1,Kıyı,C01,40.9967,39.7655,0.926,6,9.324,18.422,13.291,9.674,8.335,0.449,0.39,1.432,0.0,TM,Trabzon_Transect,1
2026-02-15,2026,2,Şubat,Kış,TM1,Kıyı,C01,40.9967,39.7655,0.926,7,9.183,18.439,13.35,9.516,8.344,0.396,0.382,1.43,0.0,TM,Trabzon_Transect,1
2026-02-15,2026,2,Şubat,Kış,TM1,Kıyı,C01,40.9967,39.7655,0.926,8,9.305,18.502,13.302,9.44,8.341,0.437,0.386,1.287,0.0,TM,Trabzon_Transect,1
2026-02-15,2026,2,Şubat,Kış,TM1,Kıyı,C01,40.9967,39.7655,0.926,9,9.245,18.514,13.351,9.343,8.329,0.461,0.449,1.376,0.0,TM,Trabzon_Transect,1
2026-02-15,2026,2,Şubat,Kış,TM1,Kıyı,C01,40.9967,39.7655,0.926,10,9.173,18.53,13.315,9.3,8.318,0.448,0.468,1.338,0.0,TM,Trabzon_Transect,1
2026-02-15,2026,2,Şubat,Kış,TM1,Kıyı,C01,40.9967,39.7655,0.926,11,9.224,18.559,13.354,9.073,8.302,0.416,0.377,1.299,0.0,TM,Trabzon_Transect,1
2026-02-15,2026,2,Şubat,Kış,TM1,Kıyı,C01,40.9967,39.7655,0.926,12,9.147,18.641,13.396,9.122,8.308,0.445,0.407,1.204,0.0,TM,Trabzon_Transect,1
2026-02-15,2026,2,Şubat,Kış,TM1,Kıyı,C01,40.9967,39.7655,0.926,13,9.089,18.645,13.428,8.947,8.299,0.451,0.43,1.216,0.0,TM,Trabzon_Transect,1
2026-02-15,2026,2,Şubat,Kış,TM1,Kıyı,C01,40.9967,39.7655,0.926,14,9.32,18.654,13.355,8.899,8.322,0.482,0.515,1.193,0.0,TM,Trabzon_Transect,1
2026-02-15,2026,2,Şubat,Kış,TM1,Kıyı,C01,40.9967,39.7655,0.926,15,9.146,18.672,13.398,8.772,8.297,0.461,0.453,1.015,0.0,TM,Trabzon_Transect,1
2026-02-15,2026,2,Şubat,Kış,TM1,Kıyı,C01,40.9967,39.7655,0.926,16,9.161,18.745,13.516,8.878,8.322,0.417,0.332,1.123,0.0,TM,Trabzon_Transect,1
2026-02-15,2026,2,Şubat,Kış,TM1,Kıyı,C01,40.9967,39.7655,0.926,17,9.102,18.73,13.458,8.676,8.317,0.434,0.392,0.937,0.0,TM,Trabzon_Transect,1
2026-02-15,2026,2,Şubat,Kış,TM1,Kıyı,C01,40.9967,39.7655,0.926,18,9.138,18.83,13.504,8.581,8.306,0.403,0.365,0.983,0.0,TM,Trabzon_Transect,1
2026-02-15,2026,2,Şubat,Kış,TM1,Kıyı,C01,40.9967,39.7655,0.926,19,9.193,18.83,13.465,8.489,8.317,0.423,0.421,0.96,0.0,TM,Trabzon_Transect,1
2026-02-15,2026,2,Şubat,Kış,TM1,Kıyı,C01,40.9967,39.7655,0.926,20,9.137,18.796,13.451,8.355,8.334,0.424,0.42,1.008,0.0,TM,Trabzon_Transect,1
2026-02-15,2026,2,Şubat,Kış,TM1,Kıyı,C01,40.9967,39.7655,0.926,21,9.23,18.848,13.53,8.283,8.332,0.418,0.369,0.849,0.0,TM,Trabzon_Transect,1
